id,requirement,minimum_acceptance,status,implementation,tests,verification_evidence,blocker_reason,remaining_work
COV-001,"The system SHALL maintain a versioned inventory of every declared execution path for each protected action, including web UI, mobile, API, CLI, batch, import, service account, direct database, recovery and emergency paths.","A test tenant shows every configured path with owner, target, last evidence time and status.",VERIFIED,"[""src/coverage.mjs"", ""src/fabric.mjs""]","[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed', t => {""}]","[{""command"": ""python3 scripts/record-verification.py"", ""result_file"": ""reports/evidence/current-tests.xml"", ""result_sha256"": ""f64a88c7178693e69c46c83b34d3970e3458f3862ea9929b2bb9de55baaf5feb"", ""passing_test_names"": [""COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle"", ""COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed""], ""source_hashes"": {""src/coverage.mjs"": ""dd8e29586a813a58303a601bde04da7415b0df522bed9464c64f0482ef5fcd7b"", ""src/fabric.mjs"": ""7999a57727fbf4daf3ff25706e264d4f290a347cc65bb722f91e18ca667483ee"", ""tests/coverage-lifecycle.test.mjs"": ""69e2d4bf9087b354231442822ca05bd7a2ae75394e8e17d663b141e5bd2c3a6d""}}]",,
COV-002,"Every path SHALL be labelled ENFORCED, MONITORED, UNCOVERED or UNKNOWN; no other state may be represented as protected.",API and UI reject a “protected” badge when any required path is UNCOVERED or UNKNOWN.,VERIFIED,"[""src/coverage.mjs"", ""src/fabric.mjs""]","[{""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('COV-002 COV-007 COV-008: no manual declaration can claim ENFORCED or production guarantee', t => {""}]","[{""command"": ""python3 scripts/record-verification.py"", ""result_file"": ""reports/evidence/current-tests.xml"", ""result_sha256"": ""f64a88c7178693e69c46c83b34d3970e3458f3862ea9929b2bb9de55baaf5feb"", ""passing_test_names"": [""COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed""], ""source_hashes"": {""src/coverage.mjs"": ""dd8e29586a813a58303a601bde04da7415b0df522bed9464c64f0482ef5fcd7b"", ""src/fabric.mjs"": ""7999a57727fbf4daf3ff25706e264d4f290a347cc65bb722f91e18ca667483ee"", ""tests/coverage-lifecycle.test.mjs"": ""69e2d4bf9087b354231442822ca05bd7a2ae75394e8e17d663b141e5bd2c3a6d""}}]",,
COV-003,"The Coverage Mapper SHALL record the evidence supporting ENFORCED status, including connector configuration, credential ownership, target rejection behaviour and last negative test.",An assessor can export the evidence bundle and reproduce the rejection test.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-003 COV-005 COV-006 COV-007 COV-009: scope-bound signed evidence, expiry intervals and tenant history isolation', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COV-004,"The system SHALL detect drift in relevant target configuration, credentials, permissions, endpoints and integration versions.",A controlled configuration change moves the affected path to UNKNOWN within the configured detection window.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-004 COV-005: revoked assessor and changed configuration withdraw previously enforced paths', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COV-005,The system SHALL block publication of an enforcement guarantee when evidence is stale beyond the customer-defined maximum age.,Expired evidence automatically changes the claim state and generates an owner task.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-003 COV-005 COV-006 COV-007 COV-009: scope-bound signed evidence, expiry intervals and tenant history isolation', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-004 COV-005: revoked assessor and changed configuration withdraw previously enforced paths', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COV-006,"Coverage status SHALL be scoped by tenant, action type, target instance, environment and connector version.",Two environments can hold different coverage states without cross-contamination.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-003 COV-005 COV-006 COV-007 COV-009: scope-bound signed evidence, expiry intervals and tenant history isolation', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COV-007,The platform SHALL expose a machine-readable Coverage Manifest signed by the customer trust root or delegated policy key.,Manifest signature verifies independently and includes all scoped paths.,PARTIAL,[],"[{""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-003 COV-005 COV-006 COV-007 COV-009: scope-bound signed evidence, expiry intervals and tenant history isolation', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('COV-002 COV-007 COV-008: no manual declaration can claim ENFORCED or production guarantee', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
COV-008,The Coverage Mapper SHALL support manual declarations only as MONITORED or UNKNOWN until technical enforcement evidence is attached.,A manual checkbox alone cannot produce ENFORCED.,VERIFIED,"[""src/coverage.mjs"", ""src/fabric.mjs""]","[{""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed', t => {""}, {""file"": ""tests/runtime-audit.test.mjs"", ""declaration"": ""test('COV-002 COV-007 COV-008: no manual declaration can claim ENFORCED or production guarantee', t => {""}]","[{""command"": ""python3 scripts/record-verification.py"", ""result_file"": ""reports/evidence/current-tests.xml"", ""result_sha256"": ""f64a88c7178693e69c46c83b34d3970e3458f3862ea9929b2bb9de55baaf5feb"", ""passing_test_names"": [""COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed""], ""source_hashes"": {""src/coverage.mjs"": ""dd8e29586a813a58303a601bde04da7415b0df522bed9464c64f0482ef5fcd7b"", ""src/fabric.mjs"": ""7999a57727fbf4daf3ff25706e264d4f290a347cc65bb722f91e18ca667483ee"", ""tests/coverage-lifecycle.test.mjs"": ""69e2d4bf9087b354231442822ca05bd7a2ae75394e8e17d663b141e5bd2c3a6d""}}]",,
COV-009,The system SHALL retain historical coverage states and the exact time intervals in which guarantees were active.,Audit query reconstructs coverage at an arbitrary historical timestamp.,VERIFIED,"[""src/coverage.mjs"", ""src/fabric.mjs""]","[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-003 COV-005 COV-006 COV-007 COV-009: scope-bound signed evidence, expiry intervals and tenant history isolation', t => {""}]","[{""command"": ""python3 scripts/record-verification.py"", ""result_file"": ""reports/evidence/current-tests.xml"", ""result_sha256"": ""f64a88c7178693e69c46c83b34d3970e3458f3862ea9929b2bb9de55baaf5feb"", ""passing_test_names"": [""COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle"", ""COV-003 COV-005 COV-006 COV-007 COV-009: scope-bound signed evidence, expiry intervals and tenant history isolation""], ""source_hashes"": {""src/coverage.mjs"": ""dd8e29586a813a58303a601bde04da7415b0df522bed9464c64f0482ef5fcd7b"", ""src/fabric.mjs"": ""7999a57727fbf4daf3ff25706e264d4f290a347cc65bb722f91e18ca667483ee"", ""tests/coverage-lifecycle.test.mjs"": ""69e2d4bf9087b354231442822ca05bd7a2ae75394e8e17d663b141e5bd2c3a6d""}}]",,
COV-010,The system SHALL provide a pre-deployment bypass-test plan for every newly declared protected action.,Connector cannot enter production without test cases assigned and executed.,PARTIAL,[],"[{""file"": ""tests/completion-security.test.mjs"", ""declaration"": ""test('COV-001 COV-003 COV-004 COV-005 COV-006 COV-009 COV-010 CON-006: technical evidence, drift and upgrade lifecycle', t => {""}, {""file"": ""tests/coverage-lifecycle.test.mjs"", ""declaration"": ""test('COV-001 COV-002 COV-008 COV-010: every declared path has a mandatory assigned plan and manual claims fail closed', t => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-001,Every protected operation SHALL be represented as a Canonical Action Capsule before policy evaluation.,Equivalent inputs canonicalise to the same stable representation and hash.,PARTIAL,[],"[{""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('ACT-001 ACT-003: stable field order and exact material binding', () => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-002,"The Action Capsule SHALL include tenant, actor, device/workload, action type, target resource, current state version, requested state, destination, quantity/volume, purpose, evidence references, policy version, nonce, issue time, expiry and rollback metadata where applicable.",Schema validator rejects a capsule missing a mandatory field for its action class.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-003,"Canonicalisation SHALL use deterministic field ordering, type rules, normalisation and versioned schemas.",Cross-language reference implementations produce identical test-vector hashes.,PARTIAL,[],"[{""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('ACT-001 ACT-003: stable field order and exact material binding', () => {""}, {""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('ACT-003: strict parser rejects duplicate keys, trailing values and prototype keys', () => {""}, {""file"": ""tests/canonical.test.mjs"", ""declaration"": ""test('ACT-003: 2000 deterministic canonical round trips with integer and Unicode vectors', () => {""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-004,The Action Capsule SHALL bind both the current state and proposed state for mutating actions.,A state change between approval and execution invalidates the certificate.,PARTIAL,[],"[{""file"": ""tests/lifecycle.test.mjs"", ""declaration"": ""test('COM-004 ACT-004: stale target state invalidates certificate', t => { const h = fixture(t), { record, certificate } = h.ready(); h.f.target.seed('acme', record.capsule.action.target_resource, { altered: true }); assert.throws(() => h.f.execute(h.p(), certificate), hasCode('INV-409-STATE')); });""}]",[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-005,"The system SHALL distinguish request intent, authorised action and observed outcome as separate signed objects.",Audit chain contains three linked records and detects a mismatched outcome.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
ACT-006,Free-form text SHALL never be the sole authoritative representation of a protected action.,Policy engine consumes typed fields rather than LLM prose.,NOT_IMPLEMENTED,[],[],[],,Inspect complete semantics and execute positive/negative acceptance evidence; candidate test names are not proof.
